National,Province,District,Facility Name,Facility code
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Matotwe Rural Health Centre,ZW010413
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Matsika Clinic,ZW010430
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Maurice Nyagumbo Clinic,ZW010438
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mavhiza Clinic,ZW010503
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Mavhudzi Clinic,ZW010444
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Mayo 1 Rural Health Centre,ZW010414
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Mayo 2 Rural Health Centre,ZW010415
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Midsave Clinic,ZW010365
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mkwada Clinic,ZW010533
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Mombeyarara Rural Health Centre,ZW010104
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Mount Melleray Mission Hospital,ZW01070D
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Mount Selinda Mission Hospital,ZW01030C
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mount Zuma Clinic,ZW010509
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Mpotedzi Clinic,ZW010629
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Mt Jenya Clinic,ZW010630
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Mubvurungwa Clinic,ZW010441
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Muchadziya Rural Health Centre,ZW010208
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Mudanda Clinic,ZW010135
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Mudawose Clinic,ZW010136
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Mufusire Clinic,ZW010439
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Mukamba Clinic,ZW010432
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Mukuwapasi Rehab Clinic,ZW010481
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Munyanyi Clinic,ZW010137
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Munyarari Clinic,ZW010510
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Murambi Gardens Hospital,ZW01050H
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Murambinda Mission Hospital,ZW01010C
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Muromo Rural Health Centre,ZW010506
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Murowa Rural Health Centre,
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Murwira Rural Health Centre,ZW010105
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Musani Clinic,ZW010331
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mushunje Clinic,ZW010535
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Musilizwe Rural Health Centre,ZW010311
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Muswera Rural clinic,ZW010351
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Mutambara Mission Hospital,ZW01020C
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Mutandahwe Clinic,ZW010332
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Mutare City Health Clinic,ZW010561
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Mutare Infectious Disease Hospital,ZW01050B
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mutare Provincial Hospital,ZW01050A
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Mutare ZRP Clinic,ZW010516
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Mutasa Clinic,ZW010631
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Mutema Clinic,ZW010333
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Mutepfe Clinic,ZW010138
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Mutiusinazita Clinic,ZW010139
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Mutsvangwa Clinic,ZW010230
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Muzokomba Clinic,ZW010140
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Mwoyoweshumba Clinic,ZW010632
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Name Clinic,
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nedewedzo Rural Hospital,ZW01040D
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nedziwa Clinic,
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Nerutanga Clinic,ZW010141
Zimbabwe Ministry of Health,Manicaland ,Mutare ,New Start Centre,
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,New Start Centre,ZW010380
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,New Year's Gift Clinic,ZW010366
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Ngaone Clinic,ZW010334
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Ngarura Clinic,ZW010633
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Ngorima Clinic,ZW010231
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Nhedziwa Clinic,ZW010233
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Nyabamba Clinic,ZW010209
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyadowa Clinic,ZW010794
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyafaru Clinic,ZW010762
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Nyagundi Rural Health Centre,ZW010511
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Nyahode Clinic,ZW010205
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nyahowe Rural Health Centre,ZW010418
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nyahukwe Rural Health Centre,ZW010419
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyajezi Clinic,ZW010728
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyamaropa Clinic,ZW010727
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Nyamazura Rural Health Centre,ZW010512
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nyamidzi Clinic,ZW010431
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyamombe Camp Rural Health Centre,ZW010709
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyamombe Clinic,ZW010791
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nyamukamani Rural Health Centre,ZW010420
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nyamusosa Clinic,ZW010446
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyanga District Hospital,ZW01070A
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyangui Clinic,ZW010761
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Nyanyadzi Rural Hospital,ZW01020B
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyarumvurwe Rural Health Centre,ZW010706
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Nyashanu Mission Clinic,ZW01010D
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyatate Clinic,ZW010730
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Nyautare Rural Health Centre,ZW010710
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nyazura Clinic,ZW010427
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Nyazura Mission Clinic,ZW010491
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Nyunga Clinic,ZW010349
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Nzvenga Clinic,ZW010536
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Odzi Clinic,ZW010538
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Old Mutare Mission Hospital,ZW01060C
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Paidamoyo Rural Health Centre,ZW010312
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Premier Central Clinic,ZW010698
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Rambanepasi Clinic,ZW010142
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Ratelshoek Clinic,ZW010371
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Redwing Clinic,ZW010671
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Regina Coeli Mission Hospital,ZW01070E
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Rimbi Clinic,ZW010335
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Ringanayi Clinic,ZW010443
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Roscommon Clinic,ZW010264
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Rowa Clinic,ZW010537
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Ruchera Rural Health Centre,ZW010711
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Rukweza Clinic,ZW010433
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Rupinda Rural Health Centre,ZW010602
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Rusape District Hospital,ZW01040A
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Rusape ZRP Clinic,ZW010475
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Rusitu Mission Hospital,ZW01020D
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Sabvure Clinic,ZW010731
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Sachisuko Clinic,ZW010636
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Sadziwa Clinic,ZW010637
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Sagambe Clinic,ZW010638
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Sahumani Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Sakubva Clinic,ZW010564
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Sakubva District Hospital,ZW01050C
Zimbabwe Ministry of Health,Manicaland ,Mutare City,Sakubva Health Centre,ZW01050D
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Sakupwanya Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Samanga Clinic,ZW010641
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Samaringa Clinic,ZW010642
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Sangano Clinic,ZW010447
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Selbourne,ZW010668
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Sheba Clinic,ZW010672
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Sherukuru Rural Health Centre,ZW010603
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Shinja Clinic,ZW010232
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Silver Stream Clinic,ZW010367
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Southdown Clinic,ZW010369
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Spring Valley Clinic,ZW010795
Zimbabwe Ministry of Health,Manicaland ,Mutare ,St Andrew's Mission Hospital,ZW0F0105
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,St Augustine's Clinic,ZW010693
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,St Barbara Mission Hospital,ZW01060D
Zimbabwe Ministry of Health,Manicaland ,Mutare ,St Joseph's Mission Hospital,ZW01050G
Zimbabwe Ministry of Health,Manicaland ,Makoni ,St Michael's Tanda Mission Hospital,ZW01040E
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,St Peter's Mandeya Mission Clinic,ZW010694
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,St Peters Hospital,ZW01030D
Zimbabwe Ministry of Health,Manicaland ,Makoni ,St Therese's Mission Hospital,ZW01040F
Zimbabwe Ministry of Health,Manicaland ,Mutare ,St Werburghs Clinic,ZW010507
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Stapleford Clinic,
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Tamandayi Clinic,ZW010350
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Tandi Clinic,ZW010434
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Tanganda Rural Health Centre,ZW010314
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Tarka Clinic,ZW010265
Zimbabwe Ministry of Health,Manicaland ,Chimanimani ,Tilbury Clinic,ZW010266
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Tingamira Clinic,ZW010373
Zimbabwe Ministry of Health,Manicaland ,Nyanga ,Tombo Clinic,ZW010732
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Tongogara Rural Health Centre,ZW010315
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Toriro Clinic,ZW010435
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Triashill Mission Hospital,ZW01060E
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Tsanzaguru Clinic,ZW010436
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Tsikada Rural Health Center,
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Tsonzo Rural Hospital,ZW01060A
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Tuzuka Clinic,ZW010316
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Veneka Clinic,ZW010336
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Vengere Clinic,ZW010442
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Vumba Clinic,ZW010515
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Weya Rural Hospital,ZW01040B
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Zamuchiya Clinic,ZW010337
Zimbabwe Ministry of Health,Manicaland ,Buhera ,Zangama Rural Health Centre,ZW010106
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Zimunya Clinic,ZW010539
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Zindi Clinic,ZW010635
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,Zona Clinic,ZW010372
Zimbabwe Ministry of Health,Manicaland ,Mutasa ,Zongoro Clinic,ZW010643
Zimbabwe Ministry of Health,Manicaland ,Chipinge ,ZPS Chipinge Prison Clinic,ZW010318
Zimbabwe Ministry of Health,Manicaland ,Makoni ,ZPS Little Kraal Prison Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutare ,ZPS Mutare Prison Farm Clinic,ZW010532
Zimbabwe Ministry of Health,Manicaland ,Mutare ,ZPS Mutare Remand Prison Clinic,
Zimbabwe Ministry of Health,Manicaland ,Makoni ,ZPS Rusape Prison Clinic,ZW010474
Zimbabwe Ministry of Health,Manicaland ,Mutare ,ZRP Mutare Provincial Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Zumbare Clinic,ZW010540
Zimbabwe Ministry of Health,Manicaland ,Makoni ,Zunhidza Clinic,
Zimbabwe Ministry of Health,Manicaland ,Mutare ,Zvipiripiri Rural Health Centre,ZW010513
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Adura Clinic,ZW020408
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Always Clinic,ZW020209
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Angwa Clinic,ZW020821
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Bakasa Clinic,ZW020326
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Bandimba Clinic,ZW020533
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Bare Clinic,ZW020425
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Belgownie Clinic,ZW020445
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Bepura Clinic,ZW020827
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Bindura Farm Health Scheme Clinic,ZW020177
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Bindura Polyclinic,ZW020104
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Bindura Provincial Hospital,ZW02010A
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Bindura ZNFPC Clinic,ZW020181
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Bindura ZRP Clinic,ZW020105
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Birkdale Clinic,ZW020344
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Brandon Clinic,ZW020348
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,BUCSE Clinic,ZW0201079
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Bungwe Clinic,ZW020625
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Bushu Clinic,ZW020725
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Bveke Clinic,ZW020529
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Bvochora Rural Health Centre,ZW020301
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Camsasa Clinic,ZW020347
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Chadereka Rural Health Centre,ZW020285
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Chapoto Clinic,ZW020820
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Chawanda Clinic,ZW020525
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Chawarura Rural Health Centre,ZW020201
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Chibuli Clinic,ZW020509
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Chidembo Clinic,ZW020726
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Chidikamwedzi Clinic,ZW020207
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Chidodo Clinic,ZW020841
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Chihuri Clinic,ZW020727
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Chikafa Clinic,ZW020830
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Chimandau Rural Health Centre,ZW020607
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Chimhanda Clinic,ZW020627
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Chimhanda District Hospital,ZW02060A
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Chinehasha Rural Health Centre,ZW020401
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Chinyani Clinic,ZW020206
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Chipadze Clinic,ZW020162
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Chipindura Clinic,ZW020188
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Chipoli Clinic,ZW020785
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Chipuriro Clinic,ZW020329
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Chiriseri Clinic,ZW020145
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Chirunya Clinic,ZW020834
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Chishapa Clinic,ZW020703
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Chitepo Clinic,ZW020535
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Chitse Clinic,ZW020534
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Chitsungo Mission Hospital,ZW02080B
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Chiveso Rural Health Centre,ZW020101
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Chiwaridzo Clinic,ZW020163
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Chiwenga Clinic,
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Christon Bank Clinic,ZW020430
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Concession District Hospital,ZW02040A
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Dambakurima Clinic,ZW020226
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Dambo Clinic,ZW020484
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Davaar Clinic,ZW020410
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,David Nelson Clinic,ZW020245
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Donje Clinic,ZW020406
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Dotito Rural Health Centre,ZW020501
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Foothills Clinic,ZW020178
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Forrester Clinic,ZW020485
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Freda Rebecca Clinic,ZW020175
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Glamorgan Clinic,ZW020187
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Gonono Clinic,ZW020831
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Goora Rural Health Centre,ZW020704
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Gota Clinic,ZW020334
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Guruve Centre Rural Health Clinic,ZW020308
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Guruve District Hospital,ZW02030B
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Guruve Farm Health Scheme Clinic,
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Guruve ZPS Clinic,ZW020349
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Guruve ZRP Clinic,ZW020336
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Henderson Clinic,ZW020475
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Holme Eden Clinic,ZW020446
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Hope Bindura New Start Centre,ZW020189
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Howard Mission Hospital,ZW02040C
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Hoya Rural Health Centre,ZW020202
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Hwata Clinic,ZW020225
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Iron Duke Clinic,ZW020476
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Jingamvura Clinic,ZW020427
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Kachuta Clinic,ZW020331
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Kaitano Clinic,ZW020526
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Kamutsenzere Rural Health Centre,ZW020502
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Karanda Mission Hospital,ZW02050B
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Katanya Clinic,ZW020125
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Kemutamba Clinic,ZW020346
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Machaya Rural Health Centre,ZW020203
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Madziwa Rural Hospital,ZW02070B
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Madziwa Teachers' College,ZW020775
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Mahuwe Clinic,ZW020833
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Makope Clinic,ZW020428
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Manga Rural Health Centre,ZW020183
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Manhenga Clinic,ZW020146
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Mary Mount Mission Hospital,ZW02060B
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Masoka Clinic,ZW020801
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Masomo Clinic,ZW020802
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Matope Clinic,ZW020537
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Matsvitsi Clinic,ZW020333
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Mazowe Bridge Rural Health Centre,ZWO20605
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Mazowe Citrus Clinic,ZW02040D
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Mazowe Mine Clinic,ZW020477
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Mazowe Secondary Clinic,ZW0204086
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Mliti clinic,ZW020745
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Montgomery Christian Care Centre,ZW020483
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Mount Darwin District Hospital,ZW02050A
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Mount Darwin ZRP Clinic,ZW020530
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Mugarakamwe Clinic,ZW020345
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Mukonde Rural Health Centre,ZW0206O2
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Mukosa Rural Health Centre,ZW020601
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Mukumbura Clinic,ZW020503
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Muonwe Rural Health Centre,ZW020102
Zimbabwe Ministry of Health,Mashonaland Central ,Bindura ,Mupandira Rural Health Centre,ZW020180
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Mupfurudzi Rural Health Centre,ZW020705
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Murongwe Clinic,ZW020536
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Musengezi Clinic,ZW020832
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Mushumbi RHC,ZW020803
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Mutasa Clinic,ZW020508
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Mutungagore Clinic,ZW020507
Zimbabwe Ministry of Health,Mashonaland Central ,Centenary ,Muzarabani Rural Health Centre,ZW020204
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Mvurwi Hospital,ZW02040E
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Negomo Rural Health Centre,ZW020305
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Nembire Rural Health Centre,ZW020527
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Nhawa Rural Health Centre,ZWO2O603
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,North Eastern Medical Centre,ZW020482
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Nyakapupu Clinic,ZW020339
Zimbabwe Ministry of Health,Mashonaland Central ,Mazowe ,Nyakudya Rural Health Centre,ZW020402
Zimbabwe Ministry of Health,Mashonaland Central ,Mount Darwin ,Nyamahobogo Rural Health Centre,ZW020504
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Nyamaropa Rural Health Centre,ZW020777
Zimbabwe Ministry of Health,Mashonaland Central ,Shamva ,Nyamaruro Rural Health Centre,ZW020701
Zimbabwe Ministry of Health,Mashonaland Central ,Rushinga ,Nyamatikiti Rural Health Centre,ZW020606
Zimbabwe Ministry of Health,Mashonaland Central ,Mbire ,Nyambudzi Clinic,ZW020835
Zimbabwe Ministry of Health,Mashonaland Central ,Guruve ,Nyamhondoro Rural Health Centre,ZW020306
