CCEmails,District,EmailAddress,ID,Name,Phone,Province,Status
,Mutare,,ZWdummy97,FRAIL TRUST CARE,,Manicaland,active
,Chipinge,,ZW0103PVT,AKPEN CLINIC,,Manicaland,inactive
,Mutare,,ZW01050B,Mutare Infectious Diseases Hospital,+263783279383,Manicaland,active
,Buhera,,ZW01010C,Murambinda Mission Hospital,+263783279408,Manicaland,active
,Buhera,,ZW010102,Betera Rural Health Centre,+263774144481,Manicaland,active
,Makoni,,ZW01040B,Weya Rural Hospital,+263774148088,Manicaland,active
,Buhera,,ZW010125,Bangure Clinic,+263776148529,Manicaland,active
,Mutasa,,ZW010629,MUPOTEDZI RHC,+263774148527,Manicaland,active
,Mutasa,,ZW010602,Rupinda Rural Health Centre,+263774148593,Manicaland,active
,Buhera,,ZW010136,Muzokomba Clinic,+263783620796,Manicaland,active
,Buhera,,ZW010137,Nerutanga Clinic,+263783620797,Manicaland,active
,Mutare,,ZW010561,City Clinic,+263783279381,Manicaland,active
,Mutare,,ZW010538,Odzi Clinic Mutare,+263783279374,Manicaland,active
,Mutare,,ZW010539,Zimunya Clinic,+263774148351,Manicaland,active
,Mutare,,ZW010527,Chipfatsura Rural Health Centre,+263783279366,Manicaland,active
,Buhera,,ZW010135,Mutiusinazita Clinic,+263774144628,Manicaland,active
,Chipinge,,ZW01030B,Chikore Mission CHIPINGE,+263783282835,Manicaland,active
,Mutasa,,ZW010630,Mt Jenya Clinic,+263774148528,Manicaland,active
,Chipinge,,ZW010306,Kopera Rural Health Centre,+263774147591,Manicaland,active
,Mutare,,ZW01050E,Marange Rural Hospital,+263783279372,Manicaland,active
,Mutare,,ZW010503,Mavhiza Clinic,+263774148266,Manicaland,active
,Makoni,,ZW010412,Masvosva Rural Health Centre,+263774147921,Manicaland,active
,Chirumhanzu,,ZW070186,Central Estates Clinic,+263774150250,Midlands Province,active
,Eastern,,ZWdummy06,Caledonia Clinic,+263783282885,Harare,active
,Mutare,,ZW010514,MADONDO,,Manicaland,active
,Zaka,,ZW080734DD,GUMBO ,,Masvingo,active
,Chiredzi,,ZW080231,Rutandare Clinic,+263783282921,Masvingo,active
,Chiredzi,,ZW080233,Tshovani Ketter Polyclinic,+263783285121,Masvingo,active
,Chiredzi,,ZW080282,Mkwasine Clinic,+263774150022,Masvingo,active
,Chiredzi,,ZW080284,Zimbabwe Sugar Association Clinic,+263783282927,Masvingo,active
,Chivi,,ZW080303,Mandamabwe Rural Health Centre,+263774150127,Masvingo,active
,Masvingo,,ZW08050A,Masvingo Provincial Hospital,+263783285131,Masvingo,active
,Makoni,,ZW010406,Chinyudze Rural Health Centre,+263774147819,Manicaland,active
,Kwekwe,,ZW070401,Dendera Rural Health Centre,+263774150535,Midlands Province,active
,Bindura,,ZW020163,Chiwaridzo Clinic,+263778126777,Mashonaland Central,active
,Centenary,,ZW020204,Muzarabani Rural Health Centre,+263774152153,Mashonaland Central,active
,Chipinge,,ZW010351,Nyunga Clinic,+263774147662,Manicaland,active
,Mutare,,ZW01050G,St Joseph's Mission Hospital,+263783279377,Manicaland,inactive
,Chiredzi,,ZW080226,Chipiwa Clinic,+263774150000,Masvingo,active
,Chipinge,,ZW010369,Southdowns Clinic,+263783282855,Manicaland,active
,Centenary,,ZW020226,Dambakurima Clinic,+263774152197,Mashonaland Central,active
,Chiredzi,,ZW080291,Damarakanaka Clinic,+263774150009,Masvingo,active
,Gutu,,ZW080425,Cheshuro Clinic,+263774149705,Masvingo,active
,Gutu,,ZW080431,Nyazvidzi Clinic,+263774149896,Masvingo,active
,Gutu,,ZW080437,Dambara Clinic,+263783285117,Masvingo,active
,Chipinge,,ZW010371,Ratelshoek Clinic,+263783282847,Manicaland,active
,Mutasa,,ZW010665,Haparari Clinic,+263774148454,Manicaland,active
,Makoni,,ZW010435,Toriro Clinic,+263774148078,Manicaland,active
,Makoni,,ZW01040C,Makoni Rural Hospital,+263774147897,Manicaland,active
,Gutu,,ZW080429,Mazuru Clinic,+263774149824,Masvingo,active
,Chipinge,,ZW010307,Mabee Rural Health Centre,+263774147595,Manicaland,active
,Masvingo,,ZW080530,Bere Clinic,+263774149530,Masvingo,active
,Guruve,,ZW020327,Bepura Clinic,+263774157448,Mashonaland Central,active
,Tsholotsho,,ZW050699,Bemba Clinic,+263783283034,Matabeleland North,active
,North Western,,ZW000A05,Belvedere Clinic,+263783282894,Harare,active
,Mazowe,,ZW020445,Belgownie Clinic,+263778126769,Mashonaland Central,active
,Beitbridge,,ZW060108,BeitBridge ZRP Camp Clinic,+263783285146,Matabeleland South,active
,Beitbridge,,ZW060105,BeitBridge ZPS Clinic,+263783285148,Matabeleland South,active
,Beitbridge,,ZW060181,BeitBridge NRZ Clinic,+263783285147,Matabeleland South,active
,Beitbridge,,ZW06010A,Beitbridge District Hospital,+263771120249,Matabeleland South,active
,Chegutu,,ZW040186,Beersheba Mission Clinic,+263774161267,Mashonaland West,active
,Seke,,ZW03090A,Beatrice Rural Hospital,+263783280011,Mashonaland East,active
,Infectious Diseases,,ZW000A0C,Beatrice Road Hospital,+263783282831,Harare,active
,Matobo,,ZW060592,Bazha Clinic,+263774152055,Matabeleland South,active
,Mhondoro,,ZW04030E,Battlefields ZNA Camp Clinic,+263783282872,Mashonaland West,active
,Chegutu,,ZW040185,Batsiranai Nursing Home,+263783285176,Mashonaland West,active
,Mazowe,,ZW020425,Bare Clinic,+263777147401,Mashonaland Central,active
,Zvimba,,ZWdummy01,Banket Hospital,+263783282945,Mashonaland West,active
,Mangwe,,ZW060709,Bango Rural Health Centre,+263774151942,Matabeleland South,active
,Shurugwi,,ZW070625,Banga Clinic,+263774150928,Midlands Province,active
,Mount Darwin,,ZW020533,Bandimba Rural Health Centre,+263774157748,Mashonaland Central,active
,Bubi,,ZW050227,Balanda Clinic,+263774151150,Matabeleland North,active
,Guruve,,ZW020326,Bakasa Clinic,+263774157647,Mashonaland Central,active
,Zvimba,,ZW040642,Ayshire RDC Clinic,+263777146673,Mashonaland West,active
,North Western,,ZW000A01,Avondale Clinic,+263783282893,Harare,active
,Zvimba,,ZW040686,Aryshire Mine Clinic,+263777146686,Mashonaland West,active
,Zvimba,,ZW040641,Arda Sisi RDC Clinic,+263777146695,Mashonaland West,active
,Chimanimani,,ZW010251,Arda Rusitu Clinic,+263774144820,Manicaland,active
,Goromonzi,,ZW030275,Arcturus Mine Clinic,+263774159856,Mashonaland East,active
,Harare Central South Eastern,,ZW000A02,Arcadia PC Clinic,+263783282888,Harare,active
,Mbire,,ZW020821,Angwa Clinic,+263777146870,Mashonaland Central,active
,Kwekwe,,ZW070461,Amaveni Clinic,+263783283016,Midlands Province,active
,Centenary,,ZW020209,Always Clinic,+263774157419,Mashonaland Central,active
,Masvingo,,ZW080501,Alvord Rural Health Centre,+263774149525,Masvingo,active
,Makonde,,ZW040575,Alaska Munic Clinic,+263777146465,Mashonaland West,active
,Kwekwe,,ZW070486,Al Davies Clinic,+263783283017,Midlands Province,active
,Gokwe North,,ZWdummy85,Zumba,+263774150379,Midlands Province,active
,Chitungwiza Urban,,ZWdummy84,ZRP Chitungwiza Camp Clinic,+263783285064,Harare,active
,Kariba,,ZWdummy83,ZPCS Kariba Satelite Prison Cliic,+263783285071,Mashonaland West,active
,Zvimba,,ZWdummy82,ZNA Para Regiment Hospital,+263783285069,Mashonaland West,active
,Kwekwe,,ZWdummy81,Zibagwe  Clinic,+263783282983,Midlands Province,active
,Shurugwi,,ZWdummy80,Zhaugwe Rural Health Centre,+263774150988,Midlands Province,active
,Gweru,,ZWdummy79,Whahwa Prison Dependents Clinic,+263783285164,Midlands Province,active
,Masvingo,,ZWdummy78,Victoria High School Clinic,+263783285129,Masvingo,active
,Shurugwi,,ZWdummy77,Unki Mine Clinic,+263783283004,Midlands Province,active
,Bubi,,ZWdummy76,Turk Mine Clinic,+263783282975,Matabeleland North,active
,Gweru,,ZWdummy75,Tumbire Clinic,+263774150524,Midlands Province,active
,Kwekwe,,ZWdummy74,Topomazi Clinic,+263774150660,Midlands Province,active
,Hwange,,ZWdummy73,Songwa Clinic,+263783282962,Matabeleland North,active
,Gweru,,ZWdummy72,Sino Zimbabwe Clinic,+263783285167,Midlands Province,active
,Gwanda,,ZWdummy71,Silikwe Clinic,+263783283066,Matabeleland South,active
,Kwekwe,,ZWdummy70,Sigezibubi Clinic,+263774150648,Midlands Province,active
,Hwange,,ZWdummy69,Sidinda Clinic,+263783282961,Matabeleland North,active
,Shurugwi,,ZWdummy68,Shurugwi ZPS Clinic,+263783283010,Midlands Province,active
,Gokwe North,,ZWdummy67,Sanyathi Mine,+263774150368,Midlands Province,active
,Chegutu,,ZWdummy66,Santa Babra Clinic,+263783283083,Mashonaland West,active
,Zvishavane,,ZWdummy65,Rutendo,+263774151098,Midlands Province,active
,Bikita,,ZWdummy64,Ruponeso Clinic,+263774149518,Masvingo,active
,Gweru,,ZWdummy63,Rubi Clinic,+263774150513,Midlands Province,active
,Harare Central South Eastern,,ZWdummy62,Parirenyatwa Satelite Clinic,+263783282882,Harare,active
,Seke,,ZWdummy61,Overspill  Clinic,+263783280032,Mashonaland East,inactive
,Mudzi,,ZWdummy59,Nyapfunde Clinic,+263783280041,Mashonaland East,active
,Nyanga,,ZWdummy58,Nyanguai Clinic,+263774149036,Manicaland,active
,Masvingo,,ZWdummy57,Nyamande Clinic,+263774149639,Masvingo,active
,Mudzi,,ZWdummy56,Nyamande Clinic,+263783280038,Mashonaland East,active
,Nkayi,,ZWdummy55,Nkayi ZPS Clinic,+263783283031,Matabeleland North,active
,Gokwe South,,ZWdummy54,Njelele Clinic,+263783285161,Midlands Province,active
,Gokwe South,,ZWdummy53,Ndabambi Clinic,+263783285166,Midlands Province,active
,Mutoko,,ZWdummy52,Mutoko Army Clinic,+263783280021,Mashonaland East,active
,Kwekwe,,ZWdummy48,Mupinda Clinic,+263774150602,Midlands Province,active
,Mudzi,,ZWdummy46,Mudzi Camp Clinic,+263783280036,Mashonaland East,active
,Shamva,,ZWdummy45,Mliti clinic,+263774159480,Mashonaland Central,active
,Hwange,,ZWdummy44,Milonga Clinic,+263783282960,Matabeleland North,active
,Gokwe South,,ZWdummy43,Medpark Surgery Clinic,+263774150432,Midlands Province,active
,Mberengwa,,ZWdummy42,Mberengwa ZPS Clinic,+263783283011,Midlands Province,active
,Rushinga,,ZWdummy41,Mazowe Bridge Rural Health Centre,+263774157864,Mashonaland Central,active
,Mudzi,,ZWdummy40,Mavhurazi  Clinic,+263783280042,Mashonaland East,active
,Gokwe South,,ZWdummy39,Masuka Clinic,+263774150424,Midlands Province,active
,Makonde,,ZWdummy38,Manyamba Clinic,+263783285155,Mashonaland West,active
,Hurungwe,,ZWdummy37,Makuti Clinic,+263783285175,Mashonaland West,active
,Beitbridge,,ZWdummy36,Makombe Clinic,+263783285150,Matabeleland South,active
,Buhera,,ZW010127,Chapanduka Clinic,+263774144510,Manicaland,active
,Chimanimani,,ZW010231,Ngorima Clinic,+263774144861,Manicaland,active
,Chivi,,ZW08030B,Chivi Rural Hospital,+263774150123,Masvingo,active
,Chivi,,ZW080391,Chivi Mission Clinic,+263774150122,Masvingo,active
,Chivi,,ZW08030A,Chivi District Hospital,+263783282924,Masvingo,active
,Chikomba,,ZW030105,Chivhu ZRP Camp Clinic,+263783280029,Mashonaland East,active
,Chikomba,,ZW030145,Chivhu Clinic,+263783280026,Mashonaland East,active
,Zvimba,,ZW040601,Chivhere Rural Health Centre,+263777146624,Mashonaland West,active
,Bindura,,ZW020101,Chiveso Rural Health Centre,+263778126776,Mashonaland Central,active
,Chegutu,,ZW040126,Chivero Clinic,+263774161112,Mashonaland West,active
,Hurungwe,,ZW040202,Chivende Rural Health Centre,+263774161287,Mashonaland West,active
,Mudzi,,ZW030602,Chiunye Rural Health Centre,+263774159990,Mashonaland East,active
,Beitbridge,,ZW060102,Chitulipasi Rural Health Centre,+263774151434,Matabeleland South,active
,Mbire,,ZW02080B,Chitsungo Mission Hospital,+263777147414,Mashonaland Central,active
,Uzumba Maramba Pfungwe,,ZW030329,Chitsungo Clinic,+263774160722,Mashonaland East,active
,Mount Darwin,,ZW020534,Chitse Clinic,+263783282919,Mashonaland Central,active
,Chiredzi,,ZW080232,Chitsa Clinic,+263774150049,Masvingo,active
,Murewa,,ZW030724,Chitowa 2 Clinic,+263774160176,Mashonaland East,active
,Murewa,,ZW030723,Chitowa 1 Clinic,+263774160173,Mashonaland East,active
,Mutare,,ZW010519,Chitora Clinic,+263774148199,Manicaland,active
,Uzumba Maramba Pfungwe,,ZW030328,Chitimbe Clinic,+263774160786,Mashonaland East,active
,Mount Darwin,,ZW020535,Chitepo Clinic,+263783282920,Mashonaland Central,active
,Gokwe South,,ZW070216,Chitave Clinic,+263774150400,Midlands Province,active
,Murewa,,ZW030701,Chitate Rural Health Centre,+263774160172,Mashonaland East,active
,Bikita,,ZW080125,Chitasa Clinic,+263774149135,Masvingo,active
,Gokwe South,,ZWdummy12,Chitapo Clinic,+263783285183,Midlands Province,active
,Mudzi,,ZW030634,Chisvo Clinic,+263783280040,Mashonaland East,active
,Hwange,,ZW050301,Chisuma Rural Health Centre,+263774151164,Matabeleland North,active
,Mutare,,ZW010543,Chishingwi Clinic,+263774148190,Manicaland,active
,Goromonzi,,ZWdummy11,Chishawasha Mission,+263783280022,Mashonaland East,active
,Shamva,,ZW020703,Chishapa Clinic,+263774159422,Mashonaland Central,active
,Mbire,,ZW020834,Chirunya Clinic,+263777146878,Mashonaland Central,active
,Hurungwe,,ZW040201,Chirundu Rural Health Centre,+263774161495,Mashonaland West,active
,Bikita,,ZW080101,Chirorwe Rural Health Centre,+263774149134,Masvingo,active
,Shurugwi,,ZW070602,Chironde Rural Health Centre,+263774150935,Midlands Province,active
,Murewa,,ZW030728,Nyamutumbu Rural Health Centre,+263774160264,Mashonaland East,active
,Murewa,,ZW030729,Shambamuto Rural Health Centre,+263774160290,Mashonaland East,active
,Murewa,,ZW030731,Matututu Clinic,+263774160341,Mashonaland East,active
,Murewa,,ZW030732,Ngwerume Rural Health Centre,+263774160474,Mashonaland East,active
,Murewa,,ZW030745,Macheke Clinic,+263774160221,Mashonaland East,active
bbhviralload@gmail.com,Buhera,,ZW01010B,Birchenough Bridge Hospital,+263774144496,Manicaland,active
,Makoni,,ZW010436,Tsanzaguru Clinic,+263774148085,Manicaland,active
,Gutu,,ZW080428,Magombedze Clinic Chivave,+263774149800,Masvingo,active
,Buhera,,ZW010132,Gunura Clinic,+263774144588,Manicaland,active
,Mutasa,,ZW010691,Gatsi Mission Clinic,+263774148443,Manicaland,active
,Chipinge,,ZW010366,New Year's Gift Clinic,+263783282846,Manicaland,active
,Mbire,,ZW020830,Chikafa Clinic,+263777146856,Mashonaland Central,active
,Makoni,,ZW010415,Mayo 2 Rural Health Centre,+263774147988,Manicaland,active
,Chimanimani,,ZW010202,Changazi Rural Health Centre,+263774144825,Manicaland,active
,Chipinge,,ZW010350,Tamandayi Clinic,+263774147722,Manicaland,active
,Bikita,,ZW080127,Mandara Clinic,+263774149430,Masvingo,active
,Mutasa,,ZW010645,Chinamasa Clinic,+263774148392,Manicaland,active
,Mudzi,,ZW030601,Chimukoko Rural Health Centre,+263774159982,Mashonaland East,active
,Rushinga,,ZW020627,Chimhanda Clinic,+263774157840,Mashonaland Central,active
,Marondera,,ZW030502,Chimbwanda Rural Health Centre,+263774160934,Mashonaland East,active
,Rushinga,,ZW020607,Chimandau Rural Health Centre,+263774157925,Mashonaland Central,active
,Chiredzi,,ZW080202,Chilonga Rural Health Centre,+263774149969,Masvingo,active
,Chirumhanzu,,ZW07010B,Chilimanzi Rural Hospital,+263774150252,Midlands Province,active
,Mudzi,,ZW030691,Chikwizo Clinic,+263774159973,Mashonaland East,active
,Gweru,,ZW07030C,Chikwingwizha Mission Hospital,+263774150467,Midlands Province,active
,Beitbridge,,ZW060101,Chikwalakwala Rural Health Centre,+263774151435,Matabeleland South,active
,Hwedza,,ZW030445,Chikurumadziva Clinic,+263774159935,Mashonaland East,active
,Makoni,,ZW01040F,St Therese's Mission Hospital,+263774148074,Manicaland,active
,Chiredzi,,ZW080212,Old Boli Rural Health Centre,+263774150035,Masvingo,active
,Mutasa,,ZW010636,Chisuko Clinic,,Manicaland,active
,Shurugwi,,ZW070601,Chikato Rural Health Centre,+263774150933,Midlands Province,active
,Chegutu,,ZW040125,Chikara Clinic,+263774161084,Mashonaland West,active
,Shamva,,ZW020727,Chihuri Clinic,+263774159454,Mashonaland Central,active
,Chivi,,ZW080302,Chigwikwi Rural Health Centre,+263774150115,Masvingo,active
,Hwedza,,ZW030425,Chigondo Clinic,+263774159927,Mashonaland East,active
,Chivi,,ZW080325,Chifedza Clinic,+263774150113,Masvingo,active
,Mberengwa,,ZW070540,Chiedza Clinic,+263774150704,Midlands Province,active
,Mutoko,,ZW030814,Chidye Clinic,+263774160591,Mashonaland East,active
,Mbire,,ZW020841,Chidodo Clinic,+263777146855,Mashonaland Central,active
,Centenary,,ZW020207,Chidikamwedzi Clinic,+263774157422,Mashonaland Central,active
,Shamva,,ZW020726,Chidembo Clinic,+263774159443,Mashonaland Central,active
,Mberengwa,,ZW070527,Chidembeko Clinic,+263774150699,Midlands Province,active
,Hurungwe,,ZW04020D,Chidamoyo Mission Hospital,+263774161309,Mashonaland West,active
,Chipinge,,ZW010338,Chichichi Clinic,+263774144884,Manicaland,active
,Mount Darwin,,ZW020509,Chiburi Rural Health Centre,+263774157778,Mashonaland Central,active
,Hwange,,ZW050359,Chibondo Clinic,+263783282963,Matabeleland North,active
,Hurungwe,,ZW040208,Chibara Clinic,+263774161476,Mashonaland West,active
,Gokwe South,,ZW070213,Cheziya Clinic,+263774150397,Midlands Province,active
,Chirumhanzu,,ZW070125,Chengwena Clinic,+263774150251,Midlands Province,active
,Sanyati,,ZW040316,Chemukute Clinic,+263783282935,Mashonaland West,active
,Gokwe South,,ZW070225,Chemahororo Clinic,+263774150395,Midlands Province,active
,Chegutu,,ZW040145,Chegutu Rural District Council Clinic,+263783283082,Mashonaland West,active
,Centenary,,ZW020201,Chawarura Rural Health Centre,+263774157418,Mashonaland Central,active
,Masvingo,,ZW080526,Chatikobo Clinic,+263774149551,Masvingo,active
,Beitbridge,,ZW060125,Chaswingo Clinic,+263774151433,Matabeleland South,active
,Masvingo,,ZW080525,Charumbira Clinic,+263774149534,Masvingo,active
,Mutoko,,ZW030825,Charehwa Clinic,+263774160665,Mashonaland East,active
,Seke,,ZW030921,Charakupa Clinic,+263774161005,Mashonaland East,active
,Mbire,,ZW020820,Chapoto Clinic,+263777146871,Mashonaland Central,active
,Beitbridge,,ZW060177,Chamnangana Clinic,+263774151593,Matabeleland South,active
,Murewa,,ZW03070A,Murehwa District Hospital,+263783279350,Mashonaland East,active
,Chimanimani,,ZW01020E,Chimanimani Rural District Hospital,+263783279361,Manicaland,active
,Nyanga,,ZW01070C,Elim Mission Hospital,+263774148963,Manicaland,active
,Bikita,,ZW08010B,Chikuku Rural Hospital,+263774149132,Masvingo,active
,Makonde,,ZW040562,Chikonohono Municipal Clinic,+263783285158,Mashonaland West,active
,Mutoko,,ZW030812,Chikondoma Clinic,+263774160587,Mashonaland East,active
,Chiredzi,,ZW08020B,Chikombedzi Mission Hospital,+263774149968,Masvingo,active
,Mwenezi,,ZWDUMMYDD,BUBI R R,,Masvingo,active
,Marondera,,ZW030562,Nyameni Clinic,+263783280024,Mashonaland East,active
,Mutasa,,ZWdummy87,MAGAMBA QUARANTINE CENTRE,,Manicaland,active
,Mutare,,ZWdummy88,ELAND CLINIC,,Manicaland,active
,Mutasa,,ZWdummy92,TORONTO QUARANTINE CENTRE,,Manicaland,active
,Gutu,,ZW080401,Mushaviri Rural Health Centre,+263774149846,Masvingo,active
,Gutu,,ZW080438,Mataruse RHC,+263774149957,Masvingo,active
,Nyanga,,ZW010792,Claremont Clinic,+263783282853,Manicaland,active
,Makonde,,ZW040586,RDC CHIMANIMANI,+263777146481,Mashonaland West,active
,Chipinge,,ZW010348,Junction Gate Clinic,+263783282862,Manicaland,active
,Mutare,,ZW010502,Chiadzwa Rural Health Centre,+263774148174,Manicaland,active
,Makoni,,ZW010442,Vengere Clinic,+263783279387,Manicaland,active
,Mwenezi,,ZW080692,Mwenezi Lundi Clinic,+263774150183,Masvingo,active
,Mwenezi,,ZW080631,Boterere Clinic,+263774150170,Masvingo,active
,Chipinge,,ZW010311,Musiriswe Rural Health Centre,+263774147610,Manicaland,active
,Nyanga,,ZW01070A,Nyanga District Hospital,+263783282854,Manicaland,active
,Mwenezi,,ZW080601,MWENEZI Chimbudzi RHC,+263774150171,Masvingo,active
,Nyanga,,ZW010731,Sabvure Clinic,+263774149083,Manicaland,active
,Nyanga,,ZW010732,Tombo Clinic,+263774149102,Manicaland,active
,Nyanga,,ZW010762,Nyafaru Clinic,+263774149025,Manicaland,active
,Nyanga,,ZW010795,Spring Valley Clinic,+263774149097,Manicaland,active
,Bindura,,ZW020102,Muonwe Rural Health Centre,+263777146888,Mashonaland Central,active
,Bindura,,ZW020125,Katanya Clinic,+263778126783,Mashonaland Central,active
,Bindura,,ZW020126,Nyava Clinic,+263774152192,Mashonaland Central,active
,Bindura,,ZW020146,Manhenga Clinic,+263778126774,Mashonaland Central,active
,Bindura,,ZW020161,Rusununguko Clinic,+263778126767,Mashonaland Central,active
,Bindura,,ZW020176,Trojan Nickel Clinic,+263778126775,Mashonaland Central,active
,Bindura,,ZW020182,Rutope Clinic,+263778126782,Mashonaland Central,active
,Bindura,,ZW020183,Manga Rural Health Centre,+263774157384,Mashonaland Central,active
,Bindura,,ZW020185,Takunda Rural Health Centre,+263774157367,Mashonaland Central,active
,Bindura,,ZW020186,mc Glamorgan Clinic,+263774157394,Mashonaland Central,active
,Centenary,,ZW020202,Hoya Rural Health Centre,+263774152195,Mashonaland Central,active
,Centenary,,ZW020203,Machaya Rural Health Centre,+263771768911,Mashonaland Central,active
,Centenary,,ZW020225,Hwata Clinic,+263774157387,Mashonaland Central,active
,Guruve,,ZW020305,Negomo Rural Health Centre,+263774157481,Mashonaland Central,active
,Guruve,,ZW020306,Nyamhondoro Rural Health Centre,+263774157439,Mashonaland Central,active
,Guruve,,ZW020307,Shinje Rural Health Centre,+263774157430,Mashonaland Central,active
,Guruve,,ZW020308,Guruve Centre Clinic,+263783282915,Mashonaland Central,active
,Guruve,,ZW020331,Kachuta Clinic,+263774157462,Mashonaland Central,active
,Guruve,,ZW020333,Matsvitsi Clinic,+263774157469,Mashonaland Central,active
,Guruve,,ZW020336,Guruve ZRP Clinic,+263774157659,Mashonaland Central,active
,Guruve,,ZW020339,Nyakapupu Clinic,+263774157454,Mashonaland Central,active
,Guruve,,ZW020343,Ruyamuro Clinic,+263774157431,Mashonaland Central,active
,Guruve,,ZW020345,Mugarakamwe Clinic,+263774157660,Mashonaland Central,active
,Guruve,,ZW020346,Kemutamba Clinic,+263774157468,Mashonaland Central,active
,Mazowe,,ZW020402,Nyakudya Rural Health Centre,+263778126773,Mashonaland Central,active
,Mazowe,,ZW020403,Shutu Rural Health Centre,+263777147355,Mashonaland Central,active
,Mazowe,,ZW020405,Montgomery Christian Care Centre,+263777146098,Mashonaland Central,active
,Mazowe,,ZW02040B,Rosa Rural Hospital,+263771612673,Mashonaland Central,active
,Mazowe,,ZW02040C,Howard Mission Hospital,+263778126771,Mashonaland Central,active
,Mazowe,,ZW02040D,Mazowe Citrus Clinic,+263777147391,Mashonaland Central,active
,Mazowe,,ZW02040E,Mvurwi Hospital,+263778126770,Mashonaland Central,active
,Mazowe,,ZW020411,Von Abo Clinic,+263777146087,Mashonaland Central,active
,Mazowe,,ZW020427,Jingamvura Clinic,+263777147395,Mashonaland Central,active
,Mazowe,,ZW020428,Makope Clinic,+263777147394,Mashonaland Central,active
,Mazowe,,ZW020432,Nzvimbo Clinic,+263777146096,Mashonaland Central,active
,Mazowe,,ZW020446,Holme Eden Clinic,+263778126761,Mashonaland Central,active
,Mazowe,,ZW020447,Tsungubvi Clinic,+263778126766,Mashonaland Central,active
,Mazowe,,ZW020475,Henderson Clinic,+263778126772,Mashonaland Central,active
,Mazowe,,ZW020476,Iron Duke Clinic,+263777146097,Mashonaland Central,active
,Mazowe,,ZW020477,Mazowe Mine Clinic,+263777147376,Mashonaland Central,active
,Mazowe,,ZW020478,Storis Clinic,+263777146892,Mashonaland Central,active
,Mazowe,,ZW020479,Mazowe Prison Clinic,+263777146088,Mashonaland Central,active
,Mazowe,,ZW020482,North Eastern Medical Centre,+263777146093,Mashonaland Central,active
,Mazowe,,ZW020483,Montgomery Christian Care Centre,+263777146098,Mashonaland Central,active
,Mazowe,,ZW020486,Mazowe Secondary Clinic,+263777147370,Mashonaland Central,active
,Mazowe,,ZW020487,Shopo Clinic,+263777146890,Mashonaland Central,active
,Mount Darwin,,ZW020502,Kamutsenzere Rural Health Centre,+263774157689,Mashonaland Central,active
,Mount Darwin,,ZW020503,Mukumbura Clinic,+263774157687,Mashonaland Central,active
,Mount Darwin,,ZW020504,Nyamahobogo Rural Health Centre,+263774157717,Mashonaland Central,active
,Mount Darwin,,ZW020505,Pfunyangowu Rural Health Centre,+263774157782,Mashonaland Central,active
,Mount Darwin,,ZW020506,Tsakare Rural Health Centre,+263774157743,Mashonaland Central,active
,Mount Darwin,,ZW020507,Mutungagore Clinic,+263774157730,Mashonaland Central,active
,Mount Darwin,,ZW02050A,Mount Darwin District Hospital,+263771120248,Mashonaland Central,active
,Mount Darwin,,ZW02050B,Karanda Mission Hospital,+263774157686,Mashonaland Central,active
,Mount Darwin,,ZW020526,Kaitano Rural Health Centre,+263774157733,Mashonaland Central,active
,Mount Darwin,,ZW020527,Nembire Rural Health Centre,+263774157736,Mashonaland Central,active
,Mount Darwin,,ZW020528,Pachanza Clinic,+263774157703,Mashonaland Central,active
,Mount Darwin,,ZW020530,Mount Darwin ZRP Clinic,+263774157800,Mashonaland Central,active
,Mount Darwin,,ZW020531,Mount Darwin ZPS Clinic,+263774157833,Mashonaland Central,active
,Rushinga,,ZW020601,Mukosa Rural Health Centre,+263774157888,Mashonaland Central,active
,Rushinga,,ZW020602,Mukonde Rural Health Centre,+263774157835,Mashonaland Central,active
,Rushinga,,ZW020603,Nhawa Rural Health Centre,+263777146898,Mashonaland Central,active
,Rushinga,,ZW020604,Rushinga Rural Health Centre,+263774157837,Mashonaland Central,active
,Rushinga,,ZW020606,Nyamatikiti Rural Health Centre,+263774157851,Mashonaland Central,active
,Rushinga,,ZW02060B,Mary Mount Mission Hospital,+263774157935,Mashonaland Central,active
,Rushinga,,ZW020626,Rusambo Clinic,+263774157836,Mashonaland Central,active
,Shamva,,ZW020701,Nyamaruro Rural Health Centre,+263774159455,Mashonaland Central,active
,Shamva,,ZW020705,Mupfurudzi Rural Health Centre,+263774159431,Mashonaland Central,active
,Shamva,,ZW02070A,Shamva District Hospital,+263783282880,Mashonaland Central,active
,Shamva,,ZW02070B,Madziwa Rural Hospital,+263774159421,Mashonaland Central,active
,Shamva,,ZW020712,Wadzanai Clinic,+263783282884,Mashonaland Central,active
,Shamva,,ZW020728,Takawira Clinic,+263774159459,Mashonaland Central,active
,Shamva,,ZW020776,Shamva Gold mine Clinic,+263783282879,Mashonaland Central,active
,Shamva,,ZW020777,Nyamaropa Shamva Rural Health Centre,+263774159484,Mashonaland Central,active
,Mbire,,ZW020801,Masoka Clinic,+263777146886,Mashonaland Central,active
,Mbire,,ZW020802,Masomo Clinic,+263777146868,Mashonaland Central,active
,Mbire,,ZW020803,Mushumbi RHC,+263774157936,Mashonaland Central,active
,Mbire,,ZW020832,Musengezi Clinic,+263777146859,Mashonaland Central,active
,Mbire,,ZW020833,Mahuwe Clinic,+263777146867,Mashonaland Central,active
